Name,Rank,Degree,Institution
Ilona Anderson,Associate Professor,,
Harry Bartnick,Professor Emeritus,,
Linda Brown,Professor ,,
Mark Brus,Associate Professor ,,
Karen Clarke,Associate Professor ,,
Rita Daly,Associate Professor ,,
Lisa French,Associate Professor,,
Jennifer Fuchel,Associate Professor ,,
Anna Gitelman,Associate Professor ,,
Audrey Goldstein,Professor & Chair,,
Laura Golly,Professor ,,
Nancy Hackett,Associate Professor ,,
Wallace Marosek,Associate Professor ,,
Lydia Martin,Professor ,,
Susan Nichter,Professor ,,
Steven Novick,Professor   ,,
Sean Solley,Associate Professor ,,
Randal Thurston,Associate Professor ,,
Eric Dewar,Associate Professor ,PhD,University of Massachusetts Amherst 
Eric Dewar,Associate Professor ,MS,University of Colorado at Boulder 
Eric Dewar,Associate Professor ,BS,Tufts University
Bernice Martin,Associate Professor Emerita,PhD,SUNY Downstate Medical Center
Annette McGehee,Assistant Professor,PhD,Harvard University
Annette McGehee,Assistant Professor,BS,University of Utah
Carl Merrill,Associate Professor,PhD,Boston University
Carl Merrill,Associate Professor,MS,University of Delaware 
Carl Merrill,Associate Professor,BS,Suffolk University
Lauren Nolfo-Clements,Associate Professor & Chair,PhD,Tulane University 
Lauren Nolfo-Clements,Associate Professor & Chair,BS,The College of New Jersey 
Celeste Peterson,Assistant Professor ,PhD,Princeton University
Celeste Peterson,Assistant Professor ,BS,Yale University
Beatrice Snow,Professor Emerita ,PhD,University of New Hampshire 
Beatrice Snow,Professor Emerita ,MS,University of New Hampshire 
Gregory Thill,Instructor ,PhD,State University of New York
Thomas Trott,Associate Professor ,PhD,Boston University
Thomas Trott,Associate Professor ,BS,University of Massachusetts
Melanie Berkmen,Associate Professor,PhD,University of Wisconsin
Melanie Berkmen,Associate Professor,BS,University of Dayton
Edith Enyedy,Instructor ,PhD,The Catholic University of America
Edith Enyedy,Instructor ,MS,The Catholic University of America
William Good,Professor Emeritus ,PhD,Massachusetts Institute of Technology
Patricia Hogan,Associate Professor,PhD,Brown University
Rachael Kipp,Associate Professor & Chair,PhD,Tulane University
Rachael Kipp,Associate Professor & Chair,BS,University of Rochester
Tram Lai,Instructor ,,
Doris Lewis,Professor Emerita,PhD,Tufts University 
Doris Lewis,Professor Emerita,BS,Duke University 
Martha Richmond,Professor ,PhD,Tufts University
Denyce Wicht,Associate Professor ,PhD,Dartmouth College 
Susan Westcott Alessandri,Associate Professor ,PhD,University of North Carolina at Chapel Hill
Susan Westcott Alessandri,Associate Professor ,BS,Framingham State College
Barbara Ash,Professor,,
Gloria Boone,Professor ,PhD,Ohio University
Bruce Butterfield,Assistant Professor of the Practice of Journalism,BS,Suffolk University
Kevin Carragee,Professor,PhD,University of Massachusetts
Kevin Carragee,Professor,MS,Shippensburg University
Deborah Geisler,Associate Professor,PhD,Southern Illinois University
Deborah Geisler,Associate Professor,BS,Ohio University
Cynthia Irizarry,Associate Professor ,PhD,University of Nebraska
Frank Irizarry,Instructor,PhD,University of Florida
Vicki Karns,Associate Professor ,PhD,Wayne State University
Micky Lee,Associate Professor ,PhD,University of Oregon
Micky Lee,Associate Professor ,BS,Hong Kong Baptist University
Shoshana Madmoni-Gerber,Associate Professor,PhD,University of Massachusetts
Richard Preiss,Associate Professor ,PhD,Syracuse University
Monika Raesch,Associate Professor ,PhD,European Graduate School
David Reeder,Assistant Professor of the Practice of Communication,MS,Suffolk University
Robert Rosenthal,Associate Professor & Chair ,PhD,Bowling Green State University
Jane Secci,Associate Professor and Undergraduate Program Director,PhD,New York University
Bruce Wickelgren,Associate Professor ,PhD,Ohio University
Bruce Wickelgren,Associate Professor ,BS,Minnesota State University
In-Mee Baek,Professor ,PhD,Indiana University 
Darlene C. Chisholm,Professor ,,
Louis Foglia,Instructor ,BS,Northeastern University
Alison Kelly,Professor,PhD,Boston College 
Shahruz Mohtadi,Associate Professor & Chair,PhD,Louisiana State University 
Shahruz Mohtadi,Associate Professor & Chair,MS,Louisiana State University 
Shahruz Mohtadi,Associate Professor & Chair,BS,Louisiana State University 
David Tuerck,Professor ,PhD,University of Virginia 
Elif Armbruster,Associate Professor ,PhD,Boston University 
Jennifer Barber,Scholar in Residence,,
Wyatt Bonikowski,Associate Professor,PhD,Cornell University 
Lisa Celovsky,Associate Professor & Associate Dean of CAS ,PhD,University of Toronto 
Thomas Connolly,Professor ,PhD,Tufts University 
Leslie Eckel,Associate Professor ,PhD,Yale University 
Peter Jeffreys,Associate Professor ,PhD,University of Toronto 
George Kalogeris,Assistant Professor ,PhD,Boston University
George Kalogeris,Assistant Professor ,BS,Suffolk University
Marilyn Jurich,Associate Professor Emerita,PhD,Tufts University 
Bette Mandl,Professor Emerita,,
Fred Marchant,Professor Emeritus ,PhD,University of Chicago 
Marlene McKinley,Professor ,PhD,University of Chicago
Anthony Merzlak,Professor  ,PhD,Harvard University 
Quentin Miller,Professor & Chair ,PhD,University of Connecticut 
Richard Miller,Associate Professor ,PhD,Bowling Green State University 
Stuart Millner,Professor,PhD,Brandeis University
Amy Monticello,Assistant Professor,,
Gerald Richman,Professor ,PhD,Yale University
Bryan Trabold,Associate Professor ,PhD,University of Wisconsin
Da Zheng,Professor ,PhD,Boston University 
Agnes Bain,Professor ,PhD,Boston University
Eric Bellone,Associate Professor ,PhD,Northeastern University 
Eric Bellone,Associate Professor ,BS,University of Massachusetts
John Berg,Professor,PhD,Harvard University 
Rachael Cobb,Associate Professor & Chair ,PhD,Massachusetts Institute of Technology 
Brian Conley,Associate Professor ,PhD,New School for Social Research 
Kenneth Cosgrove,Associate Professor ,PhD,University of Oklahoma 
Roberto Dominguez,Associate Professor ,PhD,University of Miami 
Judith Dushku,Associate Professor Emerita,,
Mary Flaherty,Associate Professor,,
Graham Kelder,Associate Professor ,,
Robert Laffey,Senior Instructor,PhD,University of Notre Dame 
Kaori Lindeman,Senior Instructor,PhD,Johns Hopkins University
Sebastian Royo,Professor & Vice Provost  ,PhD,Boston University 
Allan Tow,Associate Professor,,
Maria Toyoda,Dean and Professor,,
Weiqi Zhang,Assistant Professor,PhD,University of Georgia
Robert Allison,Professor & Chair ,PhD,Harvard University
Robert Bellinger,Associate Professor ,PhD,Boston College
John Cavanagh,Professor Emeritus ,PhD,Duke University
Kenneth S. Greenberg,Distinguished Professor,PhD,University of Wisconsin 
Robert E. Hannigan,Scholar in Residence,PhD,Princeton University
Michele Plott,Associate Professor ,PhD,Yale University
Patricia A. Reeve,Associate Professor ,PhD,Boston College 
Ronald Suleski,Professor ,PhD,University of Michigan
Yong Xue,Associate Professor ,PhD,Yale University 
Edith Cook,Associate Professor & Chair ,PhD,University of Rochester
Donald Cohn,Professor Emeritus,PhD,Harvard University 
Paul N. Ezust,Professor Emeritus,BS,Widener College 
Paul N. Ezust,Professor Emeritus,MS,Tufts University 
Paul N. Ezust,Professor Emeritus,PhD,Tufts University 
Xinxin Jiang,Associate Professor ,PhD,Tufts University
Xinxin Jiang,Associate Professor ,MS,Tsinghua University
Xinxin Jiang,Associate Professor ,BS,Tsinghua University
Sheldon Joyner,Assistant Professor,PhD,Purdue University 
Sheldon Joyner,Assistant Professor,MS,Stellenbosch University 
Sheldon Joyner,Assistant Professor,BS,Stellenbosch University 
Edgar Karapetian,Research Associate Professor ,PhD,Concordia University
Edgar Karapetian,Research Associate Professor ,BS,Polytechnic Institute
Irina Peterburgsky,Professor ,PhD,Kiev Institute of Mathematics of Academy of Sciences
Irina Peterburgsky,Professor ,MS,Kiev University
Irina Peterburgsky,Professor ,BS,Kiev University
Pradeep Shukla,Professor ,PhD,Brandeis University 
Pradeep Shukla,Professor ,MS,Vikram University
Pradeep Shukla,Professor ,BS,Vikram University
Dan Stefanescu,Professor ,PhD,Harvard University 
Dan Stefanescu,Professor ,MS,Harvard University 
Dan Stefanescu,Professor ,BS,Massachusetts Institute of Technology 
Tan VoVan,Professor ,PhD,Brandeis University 
Zhiyong Xu,Associate Professor ,PhD,University of Cincinnati 
Zhiyong Xu,Associate Professor ,MS,Huazhong University of Science & Technology
Dmitry Zinoviev,Professor ,PhD,SUNY at Stony Brook 
Dmitry Zinoviev,Professor ,MS,SUNY at Stony Brook 
Dmitry Zinoviev,Professor ,MS,Moscow State University
Nir Eisikovits,Associate Professor ,PhD,Boston University 
Gregory Fried,Professor & Chair ,PhD,University of Chicago
Donna Giancola,Associate Professor ,PhD,Boston University 
Montgomery Link,Associate Professor ,PhD,Boston University 
Tryan McMickens,Assistant Professor ,BS,Tuskegee University 
Jeppe von Platz,Assistant Professor ,PhD,University of Pennsylvania
Michael Siegel,Associate Professor ,PhD,Indiana University 
Michael Siegel,Associate Professor ,MS,Georgia State University 
Craig Christensen,Associate Professor & Engineering Program Director,PhD,Massachusetts Institute of Technology
Craig Christensen,Associate Professor & Engineering Program Director,MS,Massachusetts Institute of Technology
Craig Christensen,Associate Professor & Engineering Program Director,BS,Massachusetts Institute of Technology
Chathan Cooke,Visiting Professor,MS,Massachusetts Institute of Technology
Chathan Cooke,Visiting Professor,BS,Rensselaer Polytechnic Institute
Oktay Demir,Associate Professor ,PhD,Boston College
Oktay Demir,Associate Professor ,MS,Middle East Technical University
Frank Feldman,Professor,PhD,Boston University
Walter Johnson,Professor,PhD,Harvard University
Walter Johnson,Professor,MS,Harvard University
Scott Lussier,Practitioner in Residence,MS,University of Massachusetts
Jessica Mak,Radiation Science Program Director,MS,Suffolk University
Jessica Mak,Radiation Science Program Director,BS,University of Vermont
Polievkt Perov,Distinguished Instructor,PhD,Russian Academy of Sciences
Polievkt Perov,Distinguished Instructor,MS,Moscow Physical-Technical University
Stevan Radojev,Senior Instructor,PhD,Boston College 
Prashant Sharma,Associate Professor & Chair,PhD,Boston University 
Prashant Sharma,Associate Professor & Chair,MS,Banaras Hindu University
Prashant Sharma,Associate Professor & Chair,BS,Banaras Hindu University
Lisa Shatz,Associate Professor,PhD,Massachusetts Institute of Technology
Lisa Shatz,Associate Professor,MS,Massachusetts Institute of Technology
Lisa Shatz,Associate Professor,BS,Massachusetts Institute of Technology
Mohamed Zatet,Associate Professor,PhD,Tufts University 
Mohamed Zatet,Associate Professor,MS,Tufts University 
Mohamed Zatet,Associate Professor,BS,Constantine University 
Mostapha Ziad,Associate Professor,PhD,Boston University
Mostapha Ziad,Associate Professor,MS,Boston University
Mostapha Ziad,Associate Professor,BS,University of Algiers
Michael Basseches,Professor Emeritus,PhD,Harvard Univeristy 
Krisanne Bursik,Professor & Senior Associate Dean for Academic Affairs,PhD,Boston University
Rosemarie DiBiase,Associate Professor ,PhD,Temple University 
Gary Fireman,Professor & Chair ,PhD,Long Island University 
David Gansler,Associate Professor ,PhD,State University of New York at Albany 
David Gansler,Associate Professor ,BS,State University of New York at Albany 
Lotte Smith-Hansen,Assistant Professor of Clinical Practice & Clinical Training Coordinator,,
Debra Harkins,Associate Professor ,PhD,Clark University 
Debra Harkins,Associate Professor ,BS,University of Massachusetts
Matthew Jerram,Associate Professor,PhD,Suffolk University 
Gabrielle Liverant,Assistant Professor,PhD,Boston University
Amy Marks,Associate Professor ,PhD,Brown University 
David Medoff,Associate Professor ,PhD,Fairleigh Dickinson University
Elisabeth Moes,Associate Professor ,PhD,Pennsylvania State University 
Susan Orsillo,Professor,PhD,University at Albany
Sukanya Ray,Associate Professor,PhD,Indian Institute of Technology
Sarah Schwartz,Assistant Professor,PhD,University of Massachusetts Boston 
David Shumaker,Associate Professor ,PhD,University of South Carolina 
Michael K. Suvak,Assistant Professor ,PhD,Boston University 
Michael K. Suvak,Assistant Professor ,BS,The Pennsylvania State University 
Lance Swenson,Associate Professor ,PhD,University of Missouri
Lance Swenson,Associate Professor ,BS,University of Georgia
Robert C. Webb,Professor Emeritus ,PhD,Tufts University
Yvonne Wells,Associate Professor ,PhD,Clark University 
Lynda Field,Associate Professor,,
Amy Agigian,Associate Professor ,PhD,Brandeis University 
Carolyn Boyes-Watson,Professor ,PhD,Harvard University 
Averil Clarke,Assistant Professor ,PhD,University of Pennsylvania
Erika Gebo,Associate Professor and Director,PhD,University of New Hampshire 
John Holley,Associate Professor ,PhD,University of Edinburgh
Keri Iyall Smith,Associate Professor,PhD,University of North Carolina
Sheila Mahoney,Associate Professor,MS,Harvard University 
Sheila Mahoney,Associate Professor,BS,Wheelock College 
Geraldine Manning,Associate Professor ,PhD,Boston College 
Donald Morton,Associate Professor ,PhD,Notre Dame University 
Maureen Norton-Hawk,Professor ,PhD,Northeastern University 
Maureen Norton-Hawk,Professor ,MS,University of Alabama
Maureen Norton-Hawk,Professor ,MS,Virginia Commonwealth University 
James Ptacek,Professor & Chair,PhD,Brandeis University 
Elizabeth Robinson,Assistant Professor ,,
Susan Sered,Professor,PhD,Hebrew University of Jerusalem 
Steven Spitzer,Professor ,PhD,Indiana University 
Carmen Veloria,Associate Professor ,,
Felicia Wiltz,Associate Professor,PhD,Northeastern University 
Caitlin Langstaff,Assistant Professor ,,
Marilyn Plotkins,Professor & Chair ,PhD,Tufts University
Wesley Savick,Professor ,,
Barbara Abrams,Associate Professor ,PhD,Columbia University 
Barbara Abrams,Associate Professor ,MS,Loyola University of Chicago 
Charles Cramer,Associate Professor ,PhD,University of Texas
R. Harrison Kelton,Associate Professor ,PhD,Boston University 
R. Harrison Kelton,Associate Professor ,BS,University of Nebraska 
Celeste Kostopulos Cooperman,Professor ,PhD,Brown University 
Tom McGrath,Associate Professor & Chair ,PhD,Harvard University 
Iani Moreno,Associate Professor ,PhD,University of Kansas 
Jay Rosellini,Professor ,PhD,Indiana University 
Marjorie Salvodon,Associate Professor ,PhD,Brown University 
